1,"MARIA X GEYER","SALESREP",43,+0027997.63,2
2,"JOHN O HAAS","OPERATOR",34,+0113991.29,9
3,"MICHAEL O STERN","OPERATOR",50,+0108687.93,5
4,"EILEEN O SCHNEIDER","OPERATOR",48,+0077625.65,1
5,"ELIZABETH F JOHN","CLERK   ",23,+0039805.08,4
6,"HEATHER D SMITH","CLERK   ",45,+0053322.16,6
7,"MICHAEL P WONG","OPERATOR",40,+0078186.91,9
8,"WING P STERN","OPERATOR",31,+0040984.20,8
9,"MASATOSHI B BROWN","ANALYST ",34,+0032528.57,3
10,"DAVID H SMITH","MANAGER ",34,+0086458.45,1
11,"MARIA S SMITH","OPERATOR",50,+0042227.75,2
12,"ELIZABETH T O'CONNELL","OPERATOR",42,+0053595.56,7
13,"WING C BROWN","CLERK   ",58,+0054158.90,8
14,"MARILYN D STERN","CLERK   ",38,+0053716.08,6
15,"KIM K O'CONNELL","DESIGNER",46,+0098925.75,8
16,"JAMES D JONES","CLERK   ",27,+0027825.00,9
17,"REBA G SCHNEIDER","DESIGNER",48,+0100256.32,6
18,"JAMES P PARKER","OPERATOR",48,+0064272.28,6
19,"DANIEL U ORLANDO","PRES    ",42,+0032673.84,6
20,"KIM H JOHN","MANAGER ",37,+0101677.83,2
21,"JOHN K SCOUTTEN","DESIGNER",40,+0035590.75,5
22,"JAMES B PULASKI","ANALYST ",52,+0046439.95,1
23,"RAMLAL O JONES","OPERATOR",57,+0057335.38,6
24,"ETHEL M THOMPSON","FIELDREP",32,+0045087.64,6
25,"MARIA S NICHOLLS","OPERATOR",48,+0045251.96,8
26,"MICHAEL X WALKER","SALESREP",44,+0093492.07,1
27,"SYBIL B SETRIGHT","ANALYST ",54,+0040039.28,1
28,"SYBIL S THOMPSON","OPERATOR",27,+0056551.61,9
29,"JOHN J WALKER","DESIGNER",34,+0058795.89,2
30,"WING P BROWN","MANAGER ",48,+0030656.28,3
31,"VINCENZO N JOHNSON","FIELDREP",23,+0098574.93,5
32,"KIM S NATZ","OPERATOR",57,+0068506.65,8
33,"WILLIAM T SCHWARTZ","OPERATOR",25,+0073371.44,6
34,"WING W JONES","SALESREP",32,+0041241.74,9
35,"HELENA B PEREZ","ANALYST ",57,+0051911.87,7
36,"RAMLAL B KWAN","ANALYST ",27,+0039915.25,9
37,"ELIZABETH D QUINTANA","CLERK   ",35,+0037371.46,6
38,"JENNIFER A JOHNSON","ANALYST ",40,+0071917.17,8
39,"ROY M ADAMSON","FIELDREP",32,+0020529.78,5
40,"MARILYN U JEFFERSON","MANAGER ",43,+0073559.86,4
41,"JAMES Z KWAN","SALESREP",51,+0048584.70,4
42,"PHILIP R KWAN","OPERATOR",55,+0024484.44,6
43,"ROBERT H PULASKI","DESIGNER",57,+0054335.24,1
44,"WING V NICHOLLS","PRES    ",34,+0051591.81,8
45,"RAMLAL F YAMAMOTO","CLERK   ",41,+0038931.34,8
46,"CHRISTINE S WONG","OPERATOR",35,+0213885.89,7
47,"THEODORE X STERN","SALESREP",28,+0091811.91,7
48,"MASATOSHI J QUINTANA","DESIGNER",54,+0044212.97,9
49,"HELENA D SCOUTTEN","CLERK   ",34,+0036746.82,9
50,"SALVATORE I PEREZ","MANAGER ",39,+0064207.04,7
51,"IRVING U SPENSER","PRES    ",25,+0094704.23,7
52,"DANIEL Q PULASKI","OPERATOR",50,+0065900.77,8
53,"CHRISTINE T KWAN","OPERATOR",58,+0118097.23,6
54,"JOHN U HENDERSON","PRES    ",55,+0033706.57,9
55,"SEAN M PARKER","FIELDREP",45,+0066959.52,2
56,"IRVING T SMITH","OPERATOR",55,+0073560.85,1
57,"VINCENZO Y ALONZO","SALESREP",56,+0096196.37,4
58,"JASON B MARINO","ANALYST ",43,+0022132.73,4
59,"WILLIAM P GOUNOT","OPERATOR",49,+0041854.36,4
60,"IRVING F WONG","MANAGER ",36,+0043478.54,5
61,"HEATHER T STERN","OPERATOR",31,+0083766.31,9
62,"MARILYN E NATZ","CLERK   ",29,+0034007.05,8
63,"EVA B HENDERSON","ANALYST ",60,+0115207.65,6
64,"BRUCE F WONG","CLERK   ",54,+0063908.48,5
65,"HEATHER D JONES","CLERK   ",24,+0087998.84,2
66,"DAVID P SCOUTTEN","OPERATOR",51,+0050486.15,5
67,"GREG B KWAN","ANALYST ",40,+0028428.01,5
68,"MAUDE W MEHTA","SALESREP",26,+0041323.83,8
69,"MICHAEL O SPENSER","OPERATOR",42,+0123693.95,8
70,"IRVING E SCOUTTEN","MANAGER ",32,+0076270.74,6
71,"MICHELLE G ALONZO","DESIGNER",36,+0033629.33,2
72,"DAVID C ORLANDO","CLERK   ",56,+0068405.34,9
73,"HEATHER E SPENSER","CLERK   ",37,+0077560.55,8
74,"HELENA A HENDERSON","ANALYST ",29,+0049577.04,3
75,"ELIZABETH U SMITH","PRES    ",59,+0042176.00,3
76,"MICHELLE G STERN","DESIGNER",35,+0051849.40,7
77,"JASON L SCOUTTEN","FIELDREP",50,+0023973.72,7
78,"IRVING C SPENSER","CLERK   ",39,+0057336.73,5
79,"JOHN D PEREZ","CLERK   ",52,+0086117.10,6
80,"KIYOSHI T ORLANDO","OPERATOR",58,+0046272.04,6
81,"KIM G KWAN","DESIGNER",49,+0069801.26,6
